StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent Form Q1a,Gender,Age,Alcohol,"Memorable word ",Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Question 3a_1,Question 3c_1,Question 3g_1,Question 3h_1,Question 3e_1,Question 3f_1,Question 3b_1,Question 3d_1,FL_18_DO,FL_13_DO
2024-03-01 14:19:46,2024-03-01 14:22:44,IP Address,192.41.114.224,100,178,True,2024-03-01 14:22:45,R_8BhVMWUwdJytTbI,,,,,55.9477,-3.1624,anonymous,EN,Yes,Male,20,yes,toon,A Rainforest Getaway in Costa Rica,Dog,Summer,Flying,Right,A fire starter,"Fairly fast, with long steps",Understanding and empathy,3,0,,4,,,,2,,"Results(M,Control)"
2024-03-01 16:38:55,2024-03-01 16:39:37,IP Address,192.41.114.225,100,41,True,2024-03-01 16:39:37,R_5DJ8qiCY0GR7BcJ,,,,,55.9552,-3.2,anonymous,EN,Yes,Female,21,no,pp,,,,,,,,,,,,,,,,,,
2024-03-01 16:39:43,2024-03-01 16:40:03,IP Address,192.41.114.225,100,19,True,2024-03-01 16:40:03,R_3khA8uvfaR4WSSV,,,,,55.9552,-3.2,anonymous,EN,Yes,Female,21,no,pp,,,,,,,,,,,,,,,,,,
2024-03-01 16:39:46,2024-03-01 16:40:54,IP Address,192.41.114.224,100,67,True,2024-03-01 16:40:54,R_5kdClw0wiDCoyEa,,,,,55.9477,-3.1624,anonymous,EN,Yes,Female,21,no,tt,,,,,,,,,,,,,,,,,,
2024-03-01 16:41:24,2024-03-01 16:41:42,IP Address,192.41.114.224,100,17,True,2024-03-01 16:41:42,R_7OW1hFhQCFjuJ2B,,,,,55.9477,-3.1624,anonymous,EN,Yes,Female,21,no,tt,,,,,,,,,,,,,,,,,,
2024-03-01 16:39:47,2024-03-01 16:42:51,IP Address,192.41.114.224,100,183,True,2024-03-01 16:42:51,R_2Xy8EydSD1wxKKd,,,,,55.9477,-3.1624,anonymous,EN,Yes,Male,21,yes,hahaha,A Castle in Scotland,Cat,Spring,Invisibility,Right,A knife,"Less fast, head up, looking at the world",Understanding and empathy,7,5,6,7,4,5,5,6,,"Results(M,Threat)"
2024-03-01 16:40:15,2024-03-01 16:43:34,IP Address,192.41.114.225,100,198,True,2024-03-01 16:43:34,R_3S8hzidRROs1oZz,,,,,55.9552,-3.2,anonymous,EN,Yes,Female,21,yes,pp,5-star Hotel in Dubai,Cat,Autumn,Teleportation,Right,A bottle of water purifying tablets,"Less fast, head down",Understanding and empathy,,,,,,,,,"Results(F,control)",
2024-03-01 16:41:59,2024-03-01 16:45:06,IP Address,192.41.114.224,100,186,True,2024-03-01 16:45:07,R_8ZnMyfAVIykW13j,,,,,55.9477,-3.1624,anonymous,EN,Yes,Female,21,yes,tt,Seaside Villa Greece,Cat,Summer,Mindreading,Right,A knife,"Less fast, head down",Intellectual stimulation,,,2,,,1,,,"Results(F,control)",
2024-03-01 19:05:14,2024-03-01 19:08:09,IP Address,192.41.114.224,100,175,True,2024-03-01 19:08:10,R_8Nqu8rO8MfuQw1O,,,,,55.9477,-3.1624,anonymous,EN,Yes,Female,21,yes,Ladder 2,Seaside Villa Greece,Dog,Summer,Mindreading,Right,A bottle of water purifying tablets,"Fairly fast, with small steps",Understanding and empathy,0,,,,,,,,"Results(F,Threat)",
2024-02-29 10:34:22,2024-03-02 12:22:38,IP Address,82.132.216.220,100,179296,True,2024-03-02 12:22:38,R_7pFHeYzeUhzfXA4,,,,,51.4964,-0.1224,anonymous,EN,Yes,Female,20,yes,000,Seaside Villa Greece,Cat,Autumn,Mindreading,Right,A bottle of water purifying tablets,"Fairly fast, with small steps",A good sense of humour,,0,1,,,,2,,"Results(F,control)",
2024-02-27 16:53:21,2024-03-02 12:57:53,IP Address,90.207.222.74,100,331472,True,2024-03-02 12:57:53,R_1ax2yKl2lKakOKl,,,,,55.8995,-3.5237,anonymous,EN,Yes,Female,21,yes,Avril,Seaside Villa Greece,Tiger,Summer,Flying,Right,A fire starter,"Fairly fast, with long steps",Loyalty,0,2,,2,,,,,"Results(F,control)",
2024-03-01 18:47:34,2024-03-02 15:28:49,IP Address,192.41.114.227,100,74475,True,2024-03-02 15:28:50,R_2vF2OzyhD97g31D,,,,,55.9477,-3.1624,anonymous,EN,Yes,Female,20,yes,purplepineapple,Seaside Villa Greece,Dog,Summer,Mindreading,Right,A knife,"Less fast, head up, looking at the world",Loyalty,0,0,2,,,,,2,"Results(F,Threat)",
2024-03-02 19:01:27,2024-03-02 19:05:22,IP Address,192.41.114.229,100,235,True,2024-03-02 19:05:22,R_4qIghi3MCY7y32h,,,,,55.9477,-3.1624,anonymous,EN,Yes,Male,20,yes,Kumquat,A Rainforest Getaway in Costa Rica,Tiger,Summer,Flying,Right,A knife,"Less fast, head up, looking at the world",A good sense of humour,10,10,10,10,8,2,5,7,,"Results(M,Control)"
2024-03-02 15:29:27,2024-03-02 19:05:47,IP Address,192.41.114.224,100,12980,True,2024-03-02 19:05:47,R_19DNkWy9P5f4UWB,,,,,55.9477,-3.1624,anonymous,EN,Yes,Female,20,yes,Dromedary,Seaside Villa Greece,Cat,Autumn,Teleportation,Right,A knife,"Less fast, head up, looking at the world",Understanding and empathy,0,0,3,,6,,6,6,"Results(F,Threat)",
2024-03-03 17:00:07,2024-03-03 17:06:19,IP Address,86.147.126.114,100,371,True,2024-03-03 17:06:19,R_2xWcwHgWraoD5De,,,,,55.9144,-3.1637,anonymous,EN,Yes,Female,20,yes,"painting ",A Lakehouse in France,Dog,Spring,Invisibility,Right,A fire starter,"Less fast, head up, looking at the world",Understanding and empathy,0,,,,0,0,,8,"Results(F,Threat)",
2024-02-26 13:50:07,2024-02-26 13:50:14,IP Address,31.94.21.155,6,6,False,2024-03-04 13:50:21,R_2rDsC0VfH5RRcBR,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,
2024-03-05 13:38:32,2024-03-05 13:41:37,IP Address,86.10.119.219,100,184,True,2024-03-05 13:41:38,R_1qmTJSb6HOEncLU,,,,,52.6281,1.2862,anonymous,EN,Yes,Male,22,yes,Vida,Seaside Villa Greece,Dog,Summer,Teleportation,Right,A knife,"Fairly fast, with long steps",Loyalty,3,5,2,5,5,2,8,2,,"Results(M,Threat)"
2024-03-05 13:37:59,2024-03-05 13:46:05,IP Address,144.173.255.163,100,486,True,2024-03-05 13:46:06,R_5ToySAU4TBc9mXX,,,,,50.7321,-3.53,anonymous,EN,Yes,Female,21,yes,kiwi,Seaside Villa Greece,Dog,Summer,Mindreading,Right,A bottle of water purifying tablets,"Fairly fast, with long steps",Understanding and empathy,2,0,0,2,0,0,2,8,"Results(F,control)",
2024-03-05 14:06:03,2024-03-05 14:11:33,IP Address,86.164.220.180,100,329,True,2024-03-05 14:11:34,R_5uV6MyJoV6X2I0O,,,,,51.4936,-0.2583,anonymous,EN,Yes,Female,23,yes,"clementine ",Seaside Villa Greece,Horse,Spring,Flying,Right,A knife,"Less fast, head up, looking at the world",Fun and adventurous spirit,0,,3,3,2,,,,"Results(F,Threat)",
2024-02-27 15:36:48,2024-02-27 15:37:53,IP Address,192.41.114.228,13,64,False,2024-03-05 15:37:57,R_21jr0fPEKW7UOd7,,,,,,,anonymous,EN,Yes,Female,20,no,colour,,,,,,,,,,,,,,,,,,
2024-03-05 15:56:59,2024-03-05 16:03:46,IP Address,86.19.40.54,100,407,True,2024-03-05 16:03:47,R_2s0jLoYxGKiEiOH,,,,,51.5828,-0.3448,anonymous,EN,Yes,Male,22,yes,"Acrylic ",A Lakehouse in France,Cat,Winter,Teleportation,Right,A bottle of water purifying tablets,"Fairly fast, with long steps",Understanding and empathy,,3,,3,5,,2,6,,"Results(M,Control)"
2024-02-27 16:11:05,2024-02-27 16:11:13,IP Address,5.151.178.91,6,7,False,2024-03-05 16:11:19,R_6hF10Q1mdnm0Unm,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,
2024-03-05 15:46:26,2024-03-05 16:13:41,IP Address,143.58.216.146,100,1634,True,2024-03-05 16:13:42,R_7KUwphDkOT15nG2,,,,,55.867,-4.2621,anonymous,EN,Yes,Female,21,yes,fabulous,Seaside Villa Greece,Dog,Spring,Teleportation,Right,A bottle of water purifying tablets,"Less fast, head down",Understanding and empathy,1,0,1,0,0,1,,,"Results(F,control)",
2024-02-27 16:10:05,2024-02-27 16:15:35,IP Address,95.175.134.42,57,330,False,2024-03-05 16:15:38,R_31WUEv6cBSwIKKP,,,,,,,anonymous,EN,Yes,Female,20,yes,yyy,Seaside Villa Greece,Cat,Spring,Mindreading,Right,A knife,"Fairly fast, with small steps",Loyalty,3,0,5,,0,0,0,,"Results(F,control)",
2024-02-27 16:34:32,2024-02-27 16:35:04,IP Address,182.245.58.115,6,31,False,2024-03-05 16:35:07,R_43BSXxzvLRXEZwo,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,
2024-02-27 17:15:01,2024-02-27 17:16:57,IP Address,192.41.114.230,38,116,False,2024-03-05 17:17:01,R_2X1HdOxb3kVVZct,,,,,,,anonymous,EN,Yes,Female,22,yes,Elizabeth9,A Lakehouse in France,Cat,Spring,Teleportation,Right,A knife,"Fairly fast, with small steps",Understanding and empathy,,,,,,,,,"Results(F,control)",
2024-02-27 17:23:48,2024-02-27 17:25:56,IP Address,86.172.242.122,38,127,False,2024-03-05 17:26:04,R_8oBm4cwsLIEnBIZ,,,,,,,anonymous,EN,Yes,Female,22,yes,Cake,Seaside Villa Greece,Horse,Summer,Invisibility,Right,A bottle of water purifying tablets,"Less fast, head up, looking at the world",Loyalty,,,,,,,,,"Results(F,Threat)",
2024-02-27 17:31:54,2024-02-27 17:32:28,IP Address,129.97.124.15,13,34,False,2024-03-05 17:32:46,R_19GAAZ89SiLxwdP,,,,,,,anonymous,EN,Yes,Non-binary / third gender,1,no,1,,,,,,,,,,,,,,,,,,
2024-03-05 18:37:07,2024-03-05 18:40:10,IP Address,31.205.17.115,100,182,True,2024-03-05 18:40:11,R_42SsTgWf2tEhqe7,,,,,55.9552,-3.2,anonymous,EN,Yes,Female,20,yes,爽,Seaside Villa Greece,Dog,Summer,Teleportation,Right,A fire starter,"Less fast, head up, looking at the world",Understanding and empathy,5,6,6,5,7,5,3,8,"Results(F,Threat)",
2024-02-27 19:59:47,2024-02-27 20:16:16,IP Address,148.252.141.23,57,989,False,2024-03-05 20:16:17,R_50ucDklq0Srgxap,,,,,,,anonymous,EN,Yes,Female,20,yes,Bollocks,A Rainforest Getaway in Costa Rica,Cat,Autumn,Mindreading,Right,A fire starter,"Less fast, head up, looking at the world",A good sense of humour,2,3,1,0,4,4,4,2,"Results(F,control)",
2024-02-27 10:47:31,2024-02-27 20:18:37,IP Address,31.205.1.216,40,34265,False,2024-03-05 20:18:41,R_2fL4ej1qCnIxP9L,,,,,,,anonymous,EN,Yes,Female,20,yes,Kate's response delete later!,,Dog,Winter,Super Strength,Left,,"Less fast, head down",Understanding and empathy,,,,,,,,,"Results(F,control)",
2024-02-27 21:49:28,2024-02-27 21:51:42,IP Address,76.78.51.216,60,133,False,2024-03-05 21:51:43,R_3KI2ysIX739555x,,,,,,,anonymous,EN,Yes,Male,23,yes,apple,,,,,,,,,,,,,,,,,,
2024-02-27 22:35:34,2024-02-27 22:39:31,IP Address,49.50.201.172,38,237,False,2024-03-05 22:39:32,R_4jCceCCK39UGUM0,,,,,,,anonymous,EN,Yes,Female,23,yes,cici,A Lakehouse in France,Dog,Autumn,Mindreading,Right,A fire starter,"Less fast, head up, looking at the world",Understanding and empathy,,,,,,,,,"Results(F,control)",
2024-02-28 14:40:22,2024-02-28 15:24:27,IP Address,192.41.114.228,19,2645,False,2024-03-06 15:37:05,R_7ffp61qmY0RpX5h,,,,,,,anonymous,EN,Yes,Female,20,yes,haha,,,,,,,,,,,,,,,,,,
2024-03-06 15:56:41,2024-03-06 16:03:55,IP Address,144.173.255.213,100,433,True,2024-03-06 16:03:55,R_5CpuzmDx5Y42flv,,,,,50.7321,-3.53,anonymous,EN,Yes,Male,21,yes,Hatch,Seaside Villa Greece,Dog,Summer,Mindreading,Right,A knife,"Fairly fast, with long steps",Loyalty,,,4,,,8,3,10,,"Results(M,Threat)"
2024-03-07 15:59:23,2024-03-07 16:00:49,IP Address,148.252.128.245,100,85,True,2024-03-07 16:00:49,R_10BfkV7mL7ZqEgx,,,,,51.4964,-0.1224,anonymous,EN,Yes,Male,20,no,Water,,,,,,,,,,,,,,,,,,
2024-03-01 14:20:10,2024-03-01 18:58:05,IP Address,192.41.114.228,40,16674,False,2024-03-08 18:58:06,R_3K3yTFPLHsAJGJ1,,,,,,,anonymous,EN,Yes,Female,20,yes,ladder,A Lakehouse in France,Dog,Spring,Teleportation,Right,A bottle of water purifying tablets,"Fairly fast, with long steps",A good sense of humour,,,,,,,,,"Results(F,Threat)",
2024-03-08 20:59:46,2024-03-08 21:04:18,IP Address,31.205.17.115,100,271,True,2024-03-08 21:04:19,R_1h6cu25DL5ardJk,,,,,55.9552,-3.2,anonymous,EN,Yes,Male,22,yes,Sophisticated,5-star Hotel in Dubai,Dog,Summer,Mindreading,Right,A knife,"Less fast, head up, looking at the world",Understanding and empathy,3,,,,,,2,3,,"Results(M,Control)"
2024-03-02 15:39:41,2024-03-02 15:41:30,IP Address,192.41.114.225,38,108,False,2024-03-09 15:41:35,R_3HOIJ8eeg4jHX0Z,,,,,,,anonymous,EN,Yes,Female,21,yes,combobulate,A Lakehouse in France,Cat,Spring,Teleportation,Right,A knife,"Fairly fast, with small steps",Understanding and empathy,,,,,,,,,"Results(F,control)",
2024-03-09 16:08:41,2024-03-09 16:12:09,IP Address,104.28.40.147,100,207,True,2024-03-09 16:12:09,R_2HiATudg8l1rhMq,,,,,51.5074,-0.1196,anonymous,EN,Yes,Male,20,yes,Asturias,5-star Hotel in Dubai,Dog,Autumn,Teleportation,Right,A cooking pan,"Fairly fast, with small steps",Understanding and empathy,2,,3,,1,3,,2,,"Results(M,Control)"
